filename,full_path,professor_name,school_name,city,state,country,tier,department,num_reviews,female_pronoun_count,male_pronoun_count,total_gendered_pronouns,pronoun_confidence,inferred_gender,avg_rating,avg_difficulty
data3420.csv,"/Users/varunpanuganti/Desktop/NSF-REU-Project/RateMyProfessor SampleData, Contact hejibo@usee.tech for the whole 5G dataset/data3420.csv",Mimi  Kline,Bucks County Community College, Newtown, PA,USA,low,Medicine department,1,2,0,2,1.0,female,5.0,4.0
data1551.csv,"/Users/varunpanuganti/Desktop/NSF-REU-Project/RateMyProfessor SampleData, Contact hejibo@usee.tech for the whole 5G dataset/data1551.csv",Dennis  Jones,California State University Stanislaus, Turlock, CA,USA,low,Chemistry department,19,0,63,63,1.0,male,4.3,2.4
data1545.csv,"/Users/varunpanuganti/Desktop/NSF-REU-Project/RateMyProfessor SampleData, Contact hejibo@usee.tech for the whole 5G dataset/data1545.csv",Mario  Perez,Rutgers - State University of New Jersey, New Brunswick, NJ,USA,low,History department,2,0,1,1,1.0,male,2.8,3.0
data488.csv,"/Users/varunpanuganti/Desktop/NSF-REU-Project/RateMyProfessor SampleData, Contact hejibo@usee.tech for the whole 5G dataset/data488.csv",S  Saini,CUNY Queens College, Flushing, NY,USA,low,Science department,6,0,13,13,1.0,male,4.8,2.6999999999999997
data1223.csv,"/Users/varunpanuganti/Desktop/NSF-REU-Project/RateMyProfessor SampleData, Contact hejibo@usee.tech for the whole 5G dataset/data1223.csv",Yvan  Bousquet,Universite du Quebec a Montreal, Montreal, QC,Canada,low,Law department,1,0,5,5,1.0,male,4.5,1.0
data2064.csv,"/Users/varunpanuganti/Desktop/NSF-REU-Project/RateMyProfessor SampleData, Contact hejibo@usee.tech for the whole 5G dataset/data2064.csv",M  Goya,Queensborough Community College, Bayside, NY,USA,low,Chemistry department,5,12,0,12,1.0,female,2.5,4.0
data2070.csv,"/Users/varunpanuganti/Desktop/NSF-REU-Project/RateMyProfessor SampleData, Contact hejibo@usee.tech for the whole 5G dataset/data2070.csv",Jennifer  Lisses,Santa Clara University, Santa Clara, CA,USA,low,Languages department,13,32,0,32,1.0,female,4.799999999999999,2.8999999999999995
data1579.csv,"/Users/varunpanuganti/Desktop/NSF-REU-Project/RateMyProfessor SampleData, Contact hejibo@usee.tech for the whole 5G dataset/data1579.csv",Kay  Frieze,College of the Mainland, Texas City, TX,USA,low,Health Science department,2,7,0,7,1.0,female,5.0,3.0
data2716.csv,"/Users/varunpanuganti/Desktop/NSF-REU-Project/RateMyProfessor SampleData, Contact hejibo@usee.tech for the whole 5G dataset/data2716.csv",Kevin  Bittle,Hillsborough Community College (all campuses), Tampa, FL,USA,low,Philosophy department,20,0,44,44,1.0,male,4.799999999999999,1.3000000000000003
data3408.csv,"/Users/varunpanuganti/Desktop/NSF-REU-Project/RateMyProfessor SampleData, Contact hejibo@usee.tech for the whole 5G dataset/data3408.csv",Paula  Johnson,Syracuse University, Syracuse, NY,USA,low,Law department,3,1,0,1,1.0,female,1.0,2.3
data2925.csv,"/Users/varunpanuganti/Desktop/NSF-REU-Project/RateMyProfessor SampleData, Contact hejibo@usee.tech for the whole 5G dataset/data2925.csv",Erick  Williams,Frederick Community College, Frederick, MD,USA,low,Psychology department,18,0,37,37,1.0,male,4.900000000000001,1.3
data1592.csv,"/Users/varunpanuganti/Desktop/NSF-REU-Project/RateMyProfessor SampleData, Contact hejibo@usee.tech for the whole 5G dataset/data1592.csv",Elizabeth  Ermarth,Trent University, Peterborough, ON,Canada,low,Cultural Studies department,8,11,0,11,1.0,female,2.9,3.8
data477.csv,"/Users/varunpanuganti/Desktop/NSF-REU-Project/RateMyProfessor SampleData, Contact hejibo@usee.tech for the whole 5G dataset/data477.csv",Sandy  Singer,John Jay College of Criminal Justice, New York, NY,USA,low,English department,20,0,55,55,1.0,male,3.599999999999999,2.7999999999999994
data1753.csv,"/Users/varunpanuganti/Desktop/NSF-REU-Project/RateMyProfessor SampleData, Contact hejibo@usee.tech for the whole 5G dataset/data1753.csv",Lois  Johnson,Niagara College of Applied Arts and Technology, Welland, ON,Canada,low,Engineering department,6,7,0,7,1.0,female,2.6,3.6999999999999997
data3622.csv,"/Users/varunpanuganti/Desktop/NSF-REU-Project/RateMyProfessor SampleData, Contact hejibo@usee.tech for the whole 5G dataset/data3622.csv",Deb  Lochner,Georgia Military College, Warner Robins, GA,USA,low,Biology department,5,9,0,9,1.0,female,2.5,4.0
data1035.csv,"/Users/varunpanuganti/Desktop/NSF-REU-Project/RateMyProfessor SampleData, Contact hejibo@usee.tech for the whole 5G dataset/data1035.csv",Elena  Pezzoli,University of Washington, Seattle, WA,USA,middle,Mathematics department,20,69,0,69,1.0,female,3.5,2.7999999999999994
